//0
//File updated on 06/12/2018 04:17
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904397
//Univ. of Washington ID: 9125
//MBARI ID: 9125SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 14 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 
//
//SPECIAL NOTICE:
//pH data for this float is bad beyond cycle 36.
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5387	
//Temperature[°C]	Sbe41cp	5387	
//Salinity[pss]	Sbe41cp	5387	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1463	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L1.C01.6702 Spec#065 APEX Equitech probe 20130905RR10.04 MBARI ARGO float#0105	
//Chl_a[mg/m^3]	FLBBAP2	3309	
//Chl_a_corr[mg/m^3]	FLBBAP2	3309	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3309	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3309	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	0050	
//pH25C[Total]	Durafet	0050	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087)
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: XXXXXXXXXX, section 3.4, equation 2.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1850	0.0000	0.0000
//Nitrate	1	1.0000	0.3379	0.0000
//Nitrate	2	1.0000	-1.6955	0.0000
//Nitrate	3	1.0000	-0.2488	0.0000
//Nitrate	4	1.0000	-0.1230	0.0000
//Nitrate	34	1.0000	-0.2404	0.0000
//Nitrate	35	1.0000	2.5143	-20.4747
//Nitrate	38	1.0000	0.1960	-1.2688
//Nitrate	55	1.0000	0.1202	-0.8315
//Nitrate	97	1.0000	0.0079	-0.3497
//Nitrate	118	1.0000	-0.0363	0.0000
//pH	1	1.0000	-0.1707	0.0000
//pH	2	1.0000	-0.0963	0.5744
//pH	5	1.0000	-0.0023	-0.1033
//pH	13	1.0000	-0.0002	0.0000
//pH	14	1.0000	0.0094	-0.0964
//pH	17	1.0000	0.0040	-0.0320
//pH	32	1.0000	-0.0063	-0.0853
//pH	35	1.0000	0.0054	0.0000
//Chl	1	0.5000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	1598.96	0	-0.0459	0	34.6610	0	27.839	0	1577.708	0	223.0	0	63.9	0	32.48	0	0.0072	0	0.0024	0	0.000184	1	-1E+10	1	0.73	1	7.9094	0	7.6054	0	2356	0	2256	0	455.5	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	1498.81	0	-0.0125	0	34.6624	0	27.838	0	1479.239	0	219.7	0	63.0	0	32.70	0	0.0036	0	0.0012	0	0.000184	1	-1E+10	1	0.73	1	7.9084	0	7.6012	0	2356	0	2258	0	462.3	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	1398.71	0	0.0237	0	34.6639	0	27.837	0	1380.773	0	217.3	0	62.3	0	32.67	0	0.0000	0	0.0000	0	0.000162	1	-1E+10	1	0.67	1	7.9109	0	7.6003	0	2356	0	2258	0	464.9	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	1299.20	0	0.0604	0	34.6656	0	27.836	0	1282.842	0	215.0	0	61.7	0	32.85	0	0.0000	0	0.0000	0	0.000195	1	-1E+10	1	0.76	1	7.9116	0	7.5977	0	2355	0	2258	0	469.6	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	1198.81	0	0.0943	0	34.6672	0	27.836	0	1183.998	0	212.8	0	61.2	0	32.83	0	0.0036	0	0.0012	0	0.000206	1	-1E+10	1	0.79	1	7.9150	0	7.5975	0	2355	0	2258	0	471.3	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	1099.68	0	0.1263	0	34.6686	0	27.835	0	1086.349	0	210.7	0	60.6	0	32.90	0	0.0000	0	0.0000	0	0.000184	1	-1E+10	1	0.73	1	7.9166	0	7.5957	0	2355	0	2259	0	475.2	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	999.61	0	0.1598	0	34.6704	0	27.834	0	987.728	0	208.5	0	60.0	0	32.86	0	0.0000	0	0.0000	0	0.000206	1	-1E+10	1	0.79	1	7.9178	0	7.5936	0	2356	0	2260	0	479.4	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	951.60	0	0.1800	0	34.6716	0	27.834	0	940.396	0	207.2	0	59.7	0	32.96	0	0.0000	0	0.0000	0	0.000195	1	-1E+10	1	0.76	1	7.9033	0	7.5791	0	2355	0	2264	0	499.8	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	901.46	0	0.2003	0	34.6727	0	27.833	0	890.953	0	206.0	0	59.4	0	32.99	0	0.0000	0	0.0000	0	0.000283	1	-1E+10	1	0.99	1	7.9045	0	7.5786	0	2354	0	2264	0	501.4	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	851.13	0	0.2229	0	34.6736	0	27.833	0	841.311	0	204.4	0	59.0	0	33.03	0	0.0036	0	0.0012	0	0.000217	1	-1E+10	1	0.82	1	7.9060	0	7.5784	0	2356	0	2266	0	502.7	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	801.45	0	0.2467	0	34.6741	0	27.832	0	792.298	0	203.0	0	58.6	0	33.12	0	0.0036	0	0.0012	0	0.000217	1	-1E+10	1	0.82	1	7.9066	0	7.5774	0	2355	0	2266	0	505.0	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	750.39	0	0.2720	0	34.6757	0	27.831	0	741.912	0	201.2	0	58.1	0	32.99	0	0.0036	0	0.0012	0	0.000184	1	-1E+10	1	0.73	1	7.9064	0	7.5757	0	2355	0	2266	0	508.3	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	701.61	0	0.2980	0	34.6769	0	27.831	0	693.764	0	199.6	0	57.7	0	33.15	0	0.0108	0	0.0036	0	0.000239	1	-1E+10	1	0.87	1	7.9069	0	7.5747	0	2355	0	2266	0	510.5	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	651.31	0	0.3253	0	34.6780	0	27.830	0	644.104	0	198.4	0	57.4	0	33.15	0	0.0036	0	0.0012	0	0.000261	1	-1E+10	1	0.93	1	7.9080	0	7.5742	0	2354	0	2266	0	512.3	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	601.20	0	0.3486	0	34.6791	0	27.829	0	594.620	0	196.9	0	57.0	0	33.25	0	0.0072	0	0.0024	0	0.000250	1	-1E+10	1	0.90	1	7.9073	0	7.5720	0	2354	0	2267	0	516.2	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	551.30	0	0.3727	0	34.6796	0	27.828	0	545.332	0	195.2	0	56.5	0	33.21	0	0.0108	0	0.0036	0	0.000228	1	-1E+10	1	0.85	1	7.9073	0	7.5705	0	2354	0	2267	0	519.3	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	501.72	0	0.3930	0	34.6803	0	27.828	0	496.348	0	194.5	0	56.3	0	33.37	0	0.0000	0	0.0000	0	0.000217	1	-1E+10	1	0.82	1	7.9079	0	7.5695	0	2354	0	2267	0	521.6	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	450.84	0	0.4235	0	34.6809	0	27.826	0	446.067	0	192.8	0	55.9	0	33.36	0	0.0072	0	0.0024	0	0.000228	1	-1E+10	1	0.85	1	7.9067	0	7.5669	0	2353	0	2267	0	526.2	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	401.42	0	0.4489	0	34.6812	0	27.825	0	397.217	0	191.7	0	55.6	0	33.16	0	0.0036	0	0.0012	0	0.000228	1	-1E+10	1	0.85	1	7.9092	0	7.5677	0	2352	0	2266	0	525.8	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	381.49	0	0.4553	0	34.6809	0	27.824	0	377.514	0	192.1	0	55.7	0	33.31	0	0.0216	0	0.0072	0	0.000632	1	-1E+10	1	1.90	1	7.9097	0	7.5675	0	2351	0	2265	0	526.3	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	361.24	0	0.4630	0	34.6809	0	27.824	0	357.493	0	191.7	0	55.6	0	33.27	0	0.0072	0	0.0024	0	0.000338	1	-1E+10	1	1.13	1	7.9085	0	7.5658	0	2350	0	2265	0	529.1	0
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	351.42	0	0.4716	0	34.6811	0	27.823	0	347.783	0	191.3	0	55.5	0	33.25	0	0.0000	0	0.0000	0	0.000261	1	-1E+10	1	0.93	1	7.9091	0	7.5661	0	2350	0	2265	0	528.8	0
